#this_apt_name;that_apt_name;passengers;
HEATHROW;ABERDEEN;443751
HEATHROW;BELFAST INTERNATIONAL;1118934
HEATHROW;BIRMINGHAM;77015
HEATHROW;DURHAM TEES VALLEY;167233
HEATHROW;EDINBURGH;1252093
HEATHROW;GLASGOW;1203706
HEATHROW;GUERNSEY;68866
HEATHROW;INVERNESS;143339
HEATHROW;ISLE OF MAN;103886
HEATHROW;JERSEY;239668
HEATHROW;LEEDS BRADFORD;180785
HEATHROW;LIVERPOOL;16622
HEATHROW;MANCHESTER;805406
HEATHROW;NEWCASTLE;345779
HEATHROW;NEWQUAY;34520
HEATHROW;NOTTINGHAM EAST MIDLANDS INT'L;30033
HEATHROW;PLYMOUTH;36653
GATWICK;ABERDEEN;111832
GATWICK;BELFAST INTERNATIONAL;1824
GATWICK;DURHAM TEES VALLEY;0
GATWICK;EDINBURGH;146885
GATWICK;EXETER;0
GATWICK;GLASGOW;161781
GATWICK;GUERNSEY;168886
GATWICK;JERSEY;205516
GATWICK;MANCHESTER;202347
GATWICK;NEWCASTLE;60359
GATWICK;PLYMOUTH;38
LONDON CITY;GUERNSEY;0
LONDON CITY;JERSEY;2642
LUTON;BELFAST CITY;4399
LUTON;BELFAST INTERNATIONAL;148686
LUTON;GUERNSEY;0
LUTON;ISLE OF MAN;14709
LUTON;JERSEY;15527
STANSTED;ABERDEEN;48602
STANSTED;EDINBURGH;88186
STANSTED;GLASGOW;71768
STANSTED;GUERNSEY;21496
STANSTED;JERSEY;38037
STANSTED;NEWCASTLE;105
ABERDEEN;BELFAST CITY;4029
ABERDEEN;BIRMINGHAM;38173
ABERDEEN;BRISTOL;6536
ABERDEEN;DUNDEE;1242
ABERDEEN;DURHAM TEES VALLEY;33763
ABERDEEN;EDINBURGH;17589
ABERDEEN;GLASGOW;34889
ABERDEEN;HUMBERSIDE;21512
ABERDEEN;INVERNESS;4030
ABERDEEN;JERSEY;1736
ABERDEEN;KIRKWALL;29736
ABERDEEN;LEEDS BRADFORD;0
ABERDEEN;MANCHESTER;90009
ABERDEEN;NEWCASTLE;31421
ABERDEEN;NORWICH;39543
ABERDEEN;NOTTINGHAM EAST MIDLANDS INT'L;8357
ABERDEEN;SUMBURGH;215782
ALDERNEY;BOURNEMOUTH;2010
ALDERNEY;GUERNSEY;53657
ALDERNEY;JERSEY;22833
ALDERNEY;SOUTHAMPTON;44901
BARROW-IN-FURNESS;BLACKPOOL;37
BARROW-IN-FURNESS;MANCHESTER;169
BELFAST CITY;BIRMINGHAM;60160
BELFAST CITY;BLACKPOOL;31072
BELFAST CITY;BRISTOL;31443
BELFAST CITY;CARDIFF WALES;12454
BELFAST CITY;DURHAM TEES VALLEY;433
BELFAST CITY;EDINBURGH;62934
BELFAST CITY;EXETER;13464
BELFAST CITY;GLASGOW;61652
BELFAST CITY;GUERNSEY;68
BELFAST CITY;ISLE OF MAN;31986
BELFAST CITY;JERSEY;2538
BELFAST CITY;LEEDS BRADFORD;62124
BELFAST CITY;LIVERPOOL;75964
BELFAST CITY;MANCHESTER;85708
BELFAST CITY;NEWCASTLE;35758
BELFAST CITY;SOUTHAMPTON;17533
BELFAST INTERNATIONAL;BIRMINGHAM;99457
BELFAST INTERNATIONAL;BRISTOL;0
BELFAST INTERNATIONAL;CARDIFF WALES;288
BELFAST INTERNATIONAL;EXETER;0
BELFAST INTERNATIONAL;GLASGOW;62190
BELFAST INTERNATIONAL;HUMBERSIDE;865
BELFAST INTERNATIONAL;JERSEY;20412
BELFAST INTERNATIONAL;LEEDS BRADFORD;16024
BELFAST INTERNATIONAL;MANCHESTER;123211
BELFAST INTERNATIONAL;NEWCASTLE;7929
BELFAST INTERNATIONAL;NOTTINGHAM EAST MIDLANDS INT'L;60730
BELFAST INTERNATIONAL;PRESTWICK;0
BIRMINGHAM;BRISTOL;5
BIRMINGHAM;EDINBURGH;149810
BIRMINGHAM;GLASGOW;132856
BIRMINGHAM;GUERNSEY;13522
BIRMINGHAM;ISLE OF MAN;33568
BIRMINGHAM;JERSEY;75022
BIRMINGHAM;NEWCASTLE;15975
BLACKPOOL;ISLE OF MAN;28246
BLACKPOOL;JERSEY;3633
BLACKPOOL;MANCHESTER;68
BOURNEMOUTH;GUERNSEY;5164
BOURNEMOUTH;JERSEY;22355
BRISTOL;EDINBURGH;34288
BRISTOL;EXETER;4
BRISTOL;GLASGOW;37407
BRISTOL;GUERNSEY;7638
BRISTOL;JERSEY;29197
BRISTOL;MANCHESTER;0
BRISTOL;NEWCASTLE;5521
BRISTOL;PLYMOUTH;3559
CAMBRIDGE;JERSEY;3943
CAMBRIDGE;MANCHESTER;6070
CARDIFF WALES;GLASGOW;15886
CARDIFF WALES;GUERNSEY;2820
CARDIFF WALES;ISLE OF MAN;3613
CARDIFF WALES;JERSEY;26739
CARDIFF WALES;LIVERPOOL;0
CITY OF DERRY (EGLINTON);GLASGOW;11685
CITY OF DERRY (EGLINTON);MANCHESTER;13385
COVENTRY;GUERNSEY;375
COVENTRY;JERSEY;2127
DUNDEE;MANCHESTER;9541
DURHAM TEES VALLEY;HUMBERSIDE;215
DURHAM TEES VALLEY;JERSEY;9471
DURHAM TEES VALLEY;NORWICH;2450
EDINBURGH;GLASGOW;422
EDINBURGH;GUERNSEY;2163
EDINBURGH;HUMBERSIDE;1922
EDINBURGH;JERSEY;5619
EDINBURGH;KIRKWALL;8076
EDINBURGH;LEEDS BRADFORD;22920
EDINBURGH;MANCHESTER;85033
EDINBURGH;NORWICH;14120
EDINBURGH;NOTTINGHAM EAST MIDLANDS INT'L;25294
EDINBURGH;SOUTHAMPTON;11663
EDINBURGH;SUMBURGH;8745
EXETER;GUERNSEY;14852
EXETER;ISLES OF SCILLY (ST.MARYS);6357
EXETER;JERSEY;38779
EXETER;MANCHESTER;0
EXETER;PLYMOUTH;0
GLASGOW;GUERNSEY;2388
GLASGOW;HUMBERSIDE;1057
GLASGOW;INVERNESS;10820
GLASGOW;ISLE OF MAN;18356
GLASGOW;JERSEY;36387
GLASGOW;KIRKWALL;10027
GLASGOW;LEEDS BRADFORD;22240
GLASGOW;LIVERPOOL;0
GLASGOW;MANCHESTER;89928
GLASGOW;NOTTINGHAM EAST MIDLANDS INT'L;70777
GLASGOW;SOUTHAMPTON;19754
GLASGOW;SUMBURGH;4543
GLOUCESTERSHIRE;GUERNSEY;1169
GLOUCESTERSHIRE;JERSEY;6108
GUERNSEY;JERSEY;265026
GUERNSEY;LEEDS BRADFORD;4673
GUERNSEY;LIVERPOOL;404
GUERNSEY;MANCHESTER;26237
GUERNSEY;NORWICH;1861
GUERNSEY;NOTTINGHAM EAST MIDLANDS INT'L;15264
GUERNSEY;PLYMOUTH;4276
GUERNSEY;SOUTHAMPTON;94607
GUERNSEY;SWANSEA;134
HUMBERSIDE;JERSEY;6155
HUMBERSIDE;NORWICH;1791
INVERNESS;KIRKWALL;7070
INVERNESS;MANCHESTER;7291
INVERNESS;SUMBURGH;50
ISLE OF MAN;JERSEY;1637
ISLE OF MAN;LEEDS BRADFORD;1550
ISLE OF MAN;LIVERPOOL;121165
ISLE OF MAN;MANCHESTER;70737
ISLE OF MAN;NEWCASTLE;941
ISLES OF SCILLY (ST.MARYS);LANDS END (ST JUST);25521
ISLES OF SCILLY (ST.MARYS);NEWQUAY;526
ISLES OF SCILLY (ST.MARYS);PENZANCE HELIPORT;67677
ISLES OF SCILLY (TRESCO);NEWQUAY;0
ISLES OF SCILLY (TRESCO);PENZANCE HELIPORT;19391
JERSEY;LEEDS BRADFORD;21803
JERSEY;LIVERPOOL;12186
JERSEY;MANCHESTER;109769
JERSEY;NEWCASTLE;17858
JERSEY;NORWICH;7952
JERSEY;NOTTINGHAM EAST MIDLANDS INT'L;59468
JERSEY;PLYMOUTH;13090
JERSEY;SOUTHAMPTON;150754
JERSEY;SWANSEA;225
KIRKWALL;MANCHESTER;1
KIRKWALL;SUMBURGH;11312
LEEDS BRADFORD;NORWICH;0
MANCHESTER;NEWCASTLE;18629
MANCHESTER;SUMBURGH;1427
NEWQUAY;PENZANCE HELIPORT;435
NEWQUAY;PLYMOUTH;322
